	Length
AT1G34780	1456
AT1G34790	1112
AT1G34792	389
AT1G34795	488
AT1G34797	292
AT1G34800	279
AT1G34803	292
AT1G34805	279
AT1G34808	292
AT1G34810	279
AT1G34813	292
AT1G34815	279
AT1G34818	292
AT1G34820	279
AT1G34823	292
AT1G34825	484
AT1G34828	292
AT1G34830	488
AT1G34836	292
AT1G34840	264
AT1G34842.1	1187
AT1G34844	1246
AT1G34850	264
AT1G34860	279
AT1G34904.1	1436
AT1G34910	399
AT1G34930	279
AT1G34967.1	4227
AT1G35030	651
AT1G35035	279
AT1G35040	321
AT1G35050.1	1936
AT1G35060.1	2754
AT1G35080.1	1161
AT1G35090.1	735
AT1G35100.1	696
AT1G35110.1	3936
AT1G35112.1	891
AT1G35115.1	3298
AT1G35120.1	329
AT1G35130.1	686
AT1G35140	1132
AT1G35143.1	126
AT1G35146.1	4047
AT1G35150	1380
AT1G35160	1402
AT1G35170	745
AT1G35180	894
AT1G35181	165
AT1G35183	153
AT1G35186.1	1378
AT1G35190	1353
AT1G35200	409
AT1G35210	751
AT1G35220	3533
AT1G35230	615
AT1G35240	1773
AT1G35242	153
AT1G35250	686
AT1G35255	907
AT1G35260	767
AT1G35270	1987
AT1G35280.1	2358
AT1G35290	849
AT1G35300.1	2507
AT1G35310	791
AT1G35320	1348
AT1G35330	984
AT1G35333	150
AT1G35340	1278
AT1G35350	2256
AT1G35360.1	755
AT1G35365	540
AT1G35370.1	4493
AT1G35375	423
AT1G35380.1	1527
AT1G35390.1	5697
AT1G35400	621
AT1G35405.1	4326
AT1G35410	450
AT1G35420	1251
AT1G35430	600
AT1G35435	249
AT1G35440	744
AT1G35450	1343
AT1G35460	1151
AT1G35461	141
AT1G35465.1	735
AT1G35467	270
AT1G35470	1722
AT1G35480.1	967
AT1G35490	1312
AT1G35500	417
AT1G35501	85
AT1G35510	2302
AT1G35513	352
AT1G35515	639
AT1G35516	781
AT1G35520	1797
AT1G35530	4303
AT1G35535.1	3980
AT1G35537	246
AT1G35540	1818
AT1G35545	814
AT1G35550	631
AT1G35560	1410
AT1G35570.1	711
AT1G35580	2410
AT1G35590.1	3903
AT1G35600.1	2694
AT1G35610	1839
AT1G35612.1	1051
AT1G35614	342
AT1G35617	366
AT1G35620	1646
AT1G35625	974
AT1G35630	1060
AT1G35640.1	765
AT1G35645.1	1950
AT1G35647.1	4759
AT1G35650.1	2211
AT1G35660	4447
AT1G35663.1	321
AT1G35670	1757
AT1G35680	876
AT1G35690.1	987
AT1G35700	636
AT1G35710	3658
AT1G35720	1317
AT1G35730	1695
AT1G35735.1	4440
AT1G35740	1521
AT1G35745.1	1771
AT1G35750	1587
AT1G35760.1	3810
AT1G35770.1	2907
AT1G35780	1541
AT1G35790.1	4920
AT1G35820	864
AT1G35830	909
AT1G35840.1	4524
AT1G35850	915
AT1G35860	1200
AT1G35870.1	4331
AT1G35880	669
AT1G35890	516
AT1G35900	300
AT1G35910	1402
AT1G35920.1	1704
AT1G35930.1	786
AT1G35940.1	5037
AT1G35950.1	696
AT1G35960.1	5299
AT1G35970.1	5895
AT1G35980	1099
AT1G35990.1	5318
AT1G35995.1	2293
AT1G36000	387
AT1G36010.1	3630
AT1G36020	351
AT1G36030	243
AT1G36035.1	5055
AT1G36040.1	1564
AT1G36050	1947
AT1G36060	1836
AT1G36070	1945
AT1G36078	454
AT1G36080.1	2430
AT1G36090.1	2044
AT1G36095	906
AT1G36100	564
AT1G36105.1	1952
AT1G36110.1	2485
AT1G36120.1	4728
AT1G36130.1	4221
AT1G36140.1	2110
AT1G36150	771
AT1G36160	7208
AT1G36180	7744
AT1G36185.1	4463
AT1G36190.1	1704
AT1G36200.1	3542
AT1G36210.1	3350
AT1G36220	524
AT1G36225.1	1291
AT1G36230	1131
AT1G36240	339
AT1G36250.1	5918
AT1G36260.1	2123
AT1G36270.1	4520
AT1G36272	186
AT1G36280	1894
AT1G36290.1	1417
AT1G36300.1	4401
AT1G36305.1	4854
AT1G36310	1640
AT1G36320	1466
AT1G36330.1	3388
AT1G36340	621
AT1G36350	73
AT1G36360.1	5702
AT1G36370	2058
AT1G36380	644
AT1G36390	1234
AT1G36395.1	531
AT1G36400.1	521
AT1G36403.1	672
AT1G36406.1	995
AT1G36420.1	865
AT1G36430.1	1332
AT1G36440.1	2175
AT1G36441	814
AT1G36445.1	1386
AT1G36450.1	1625
AT1G36460.1	2460
AT1G36470.1	3847
AT1G36480.1	1809
AT1G36485.1	1401
AT1G36490.1	2509
AT1G36495.1	1311
AT1G36500.1	1436
AT1G36510	1056
AT1G36520.1	5970
AT1G36530.1	2675
AT1G36540.1	3841
AT1G36550.1	1062
AT1G36560.1	1922
AT1G36570.1	2817
AT1G36580	875
AT1G36590.1	4500
AT1G36595	274
AT1G36600.1	1934
AT1G36605.1	209
AT1G36610.1	3063
AT1G36620.1	3459
AT1G36622	540
AT1G36630.1	7481
AT1G36640	337
AT1G36650.1	1176
AT1G36660	1500
AT1G36670.1	639
AT1G36675	807
AT1G36680.1	1123
AT1G36690.1	2077
AT1G36700	564
AT1G36710	1294
AT1G36720.1	4404
AT1G36730	2286
AT1G36732	2286
AT1G36740.1	1888
AT1G36745	333
AT1G36750.1	1078
AT1G36756	390
AT1G36763.1	315
AT1G36770.1	4106
AT1G36775.1	2223
AT1G36790.1	2759
AT1G36795.1	2869
AT1G36800.1	2383
AT1G36810.1	3009
AT1G36830.1	774
AT1G36840.1	3210
AT1G36850.1	1896
AT1G36880	1883
AT1G36890.1	3810
AT1G36910.1	1460
AT1G36915.1	1302
AT1G36920	573
AT1G36922	503
AT1G36925	525
AT1G36927.1	1317
AT1G36933.1	1802
AT1G36936.1	972
AT1G36940	1229
AT1G36942	195
AT1G36950	681
AT1G36960	546
AT1G36970	1320
AT1G36975.1	4391
AT1G36980	678
AT1G36990	2837
AT1G36992	742
AT1G37000	660
AT1G37007	159
AT1G37010	264
AT1G37012.1	1018
AT1G37015.1	381
AT1G37020	1836
AT1G37030.1	5864
AT1G37035.1	2428
AT1G37036.1	480
AT1G37037.1	339
AT1G37038.1	1336
AT1G37040.1	4866
AT1G37045.1	543
AT1G37050.1	1863
AT1G37057.1	3132
AT1G37060.1	5622
AT1G37063.1	756
AT1G37070.1	2634
AT1G37080.1	675
AT1G37090.1	2097
AT1G37095.1	603
AT1G37100.1	3383
AT1G37110.1	4071
AT1G37113	1245
AT1G37120.1	2196
AT1G37130	3130
AT1G37140	703
AT1G37150	1328
AT1G37160.1	1443
AT1G37162	105
AT1G37170.1	2172
AT1G37180.1	1235
AT1G37190.1	2500
AT1G37200.1	5318
AT1G37210.1	2706
AT1G37275.1	375
AT1G37340.1	5616
AT1G37405.1	5961
AT1G37471.1	2613
AT1G37537.1	1104
AT1G37603.1	1851
AT1G37669.1	2565
AT1G37735.1	3585
AT1G37801.1	756
AT1G37867.1	5463
AT1G37933.1	3147
AT1G37999.1	3924
AT1G38065	1741
AT1G38131	2269
AT1G38140.1	2088
AT1G38149.1	2886
AT1G38158.1	2505
AT1G38167.1	3570
AT1G38176.1	1404
AT1G38185.1	4038
AT1G38194.1	885
AT1G38203.1	888
AT1G38212.1	2583
AT1G38221.1	2649
AT1G38230.1	4023
AT1G38240.1	1290
AT1G38250.1	2013
AT1G38260.1	4036
AT1G38270.1	2970
AT1G38280.1	1824
AT1G38290.1	2379
AT1G38300.1	3423
AT1G38310.1	1320
AT1G38320.1	1560
AT1G38330.1	4036
AT1G38340.1	1479
AT1G38350.1	2668
AT1G38360.1	8397
AT1G38380.1	1137
AT1G38390.1	531
AT1G38400.1	2721
AT1G38410.1	1200
AT1G38416.1	834
AT1G38423.1	3606
AT1G38430.1	3547
AT1G38440.1	1023
AT1G38450.1	3753
AT1G38460.1	3837
AT1G38550.1	645
AT1G38630	246
AT1G38710.1	4052
AT1G38790	453
AT1G38870.1	2526
AT1G38950	303
AT1G39030.1	1448
AT1G39110.1	2496
AT1G39190.1	3784
AT1G39270.1	5586
AT1G39350.1	240
AT1G39430.1	264
AT1G39510.1	1836
AT1G39511.1	2907
AT1G39513.1	1836
AT1G39515.1	1836
AT1G39590.1	6198
AT1G39670.1	2086
AT1G39750.1	408
AT1G39830.1	6012
AT1G39910.1	2756
AT1G39990.1	1632
AT1G40069	175
AT1G40070.1	2206
AT1G40071.1	762
AT1G40072.1	2031
AT1G40073.1	2825
AT1G40074.1	5952
AT1G40075.1	4451
AT1G40076.1	486
AT1G40077.1	6759
AT1G40078	2085
AT1G40079	588
AT1G40080.1	465
AT1G40081.1	936
AT1G40083	522
AT1G40084.1	642
AT1G40085.1	1119
AT1G40087	1320
AT1G40089	1308
AT1G40091.1	3456
AT1G40093.1	2946
AT1G40095.1	6240
AT1G40097.1	2709
AT1G40099.1	1044
AT1G40100.1	1011
AT1G40101.1	12954
AT1G40103.1	2823
AT1G40104	1857
AT1G40105.1	2360
AT1G40106.1	2427
AT1G40107.1	3609
AT1G40109.1	3158
AT1G40112.1	3711
AT1G40113.1	6072
AT1G40115.1	453
AT1G40117.1	5610
AT1G40118.1	1578
AT1G40119.1	1896
AT1G40121.1	1020
AT1G40123.1	3771
AT1G40124.1	1740
AT1G40125.1	1086
AT1G40127.1	5299
AT1G40129	1704
AT1G40130.1	2463
AT1G40131.1	4690
AT1G40133.1	1992
AT1G40135.1	3726
AT1G40136.1	5457
AT1G40137.1	3894
AT1G40139.1	2184
AT1G40141.1	1113
AT1G40143.1	3783
AT1G40150.1	1798
AT1G40230.1	912
AT1G40310.1	1923
AT1G40390	1281
AT1G40470.1	2998
AT1G40630.1	3709
AT1G41115.1	2814
AT1G41600.1	2814
AT1G41630.1	2814
AT1G41650.1	537
AT1G41660.1	2808
AT1G41680.1	1206
AT1G41690.1	1209
AT1G41700.1	3736
AT1G41710.1	5658
AT1G41720.1	2070
AT1G41723.1	582
AT1G41726.1	627
AT1G41730.1	2557
AT1G41740.1	3199
AT1G41743.1	3386
AT1G41746.1	2477
AT1G41750.1	426
AT1G41755.1	3680
AT1G41760.1	544
AT1G41770.1	180
AT1G41775.1	5202
AT1G41790.1	2870
AT1G41795.1	3012
AT1G41797.1	3471
AT1G41798.1	810
AT1G41803.1	7765
AT1G41810.1	615
AT1G41820	1206
AT1G41825.1	3213
AT1G41827.1	360
AT1G41830	2068
AT1G41835.1	4521
AT1G41840.1	5589
AT1G41850.1	4106
AT1G41855.1	786
AT1G41860.1	537
AT1G41870.1	1068
AT1G41875	234
AT1G41880	729
AT1G41890	3829
AT1G41893.1	2770
AT1G41896.1	4899
AT1G41900.1	1536
AT1G41910.1	2521
AT1G41920	1491
AT1G41930.1	10283
AT1G42003.1	632
AT1G42040.1	570
AT1G42045.1	1603
AT1G42050.1	3209
AT1G42060.1	2727
AT1G42070.1	1475
AT1G42080	456
AT1G42090	614
AT1G42100.1	2791
AT1G42110.1	2137
AT1G42120	72
AT1G42130.1	2488
AT1G42140.1	4581
AT1G42150.1	4048
AT1G42160.1	1491
AT1G42170.1	1662
AT1G42180.1	509
AT1G42190	195
AT1G42200.1	1383
AT1G42210.1	997
AT1G42220.1	1179
AT1G42230.1	333
AT1G42240.1	2280
AT1G42250.1	345
AT1G42260.1	1154
AT1G42270.1	1267
AT1G42280.1	370
AT1G42290.1	3130
AT1G42300.1	1052
AT1G42310.1	1598
AT1G42320.1	4574
AT1G42350.1	7480
AT1G42360.1	1851
AT1G42365.1	5731
AT1G42367.1	453
AT1G42370.1	1860
AT1G42375.1	5735
AT1G42377.1	2121
AT1G42380.1	2287
AT1G42385.1	318
AT1G42390.1	3102
AT1G42393.1	657
AT1G42396.1	945
AT1G42400.1	657
AT1G42410.1	2347
AT1G42420.1	4887
AT1G42430	1544
AT1G42440	2741
AT1G42450.1	3260
AT1G42460.1	2289
AT1G42470	3899
AT1G42480	1105
AT1G42490	1109
AT1G42500.1	2332
AT1G42510.1	3828
AT1G42515.1	621
AT1G42520.1	2253
AT1G42525	894
AT1G42530.1	2307
AT1G42540	3051
AT1G42550	2867
AT1G42560	1457
AT1G42570	1686
AT1G42580.1	405
AT1G42590.1	3364
AT1G42595.1	2521
AT1G42600.1	2478
AT1G42602.1	687
AT1G42605.1	4375
AT1G42610.1	465
AT1G42620.1	1036
AT1G42630.1	465
AT1G42635	543
AT1G42650.1	5832
AT1G42655.1	1023
AT1G42680	513
AT1G42690.1	1287
AT1G42695.1	3724
AT1G42697.1	2301
AT1G42698.1	1647
AT1G42699	141
AT1G42700	450
AT1G42703.1	1989
AT1G42705.1	2172
AT1G42710	621
AT1G42718.1	3723
AT1G42727.1	2475
AT1G42736.1	484
AT1G42740.1	1080
AT1G42745.1	2037
AT1G42780.1	2676
AT1G42816.1	688
AT1G42852.1	2423
AT1G42888.1	3109
AT1G42924.1	3178
AT1G42960	796
AT1G42970	1774
AT1G42980	1089
AT1G42990	1102
AT1G43000	651
AT1G43005	678
AT1G43010	774
AT1G43020	1782
AT1G43030.1	4370
AT1G43040	315
AT1G43050	1821
AT1G43060.1	14623
AT1G43070.1	1059
AT1G43080	1215
AT1G43090	1335
AT1G43100	1335
AT1G43110	1211
AT1G43120	462
AT1G43130	1314
AT1G43140	2166
AT1G43145	1074
AT1G43150.1	4081
AT1G43160	910
AT1G43170	1579
AT1G43171	1439
AT1G43180	1598
AT1G43190	1801
AT1G43195.1	513
AT1G43200.1	3315
AT1G43205.1	414
AT1G43210.1	2357
AT1G43220.2	1032
AT1G43230.1	330
AT1G43240.1	2264
AT1G43245	1824
AT1G43250.1	5315
AT1G43260	885
AT1G43270.1	4412
AT1G43280.1	1744
AT1G43290.1	666
AT1G43300.1	3003
AT1G43310	282
AT1G43320	357
AT1G43330	357
AT1G43387.1	4028
AT1G43415	354
AT1G43444.1	4135
AT1G43502.1	4262
AT1G43560	814
AT1G43570.1	1047
AT1G43575.1	1036
AT1G43580	1523
AT1G43590.1	507
AT1G43600	666
AT1G43610	768
AT1G43620	2516
AT1G43624	105
AT1G43630	1385
AT1G43640	1594
AT1G43650	1446
AT1G43660.1	285
AT1G43665	372
AT1G43666	663
AT1G43667	510
AT1G43670	1319
AT1G43675.1	377
AT1G43680	744
AT1G43690	2320
AT1G43700	1371
AT1G43710	1749
AT1G43715.1	2312
AT1G43720	945
AT1G43722	975
AT1G43723.1	1308
AT1G43724.1	864
AT1G43725.1	4033
AT1G43730	963
AT1G43740.1	2049
AT1G43745.1	2609
AT1G43750.1	1878
AT1G43755.1	2571
AT1G43760	1881
AT1G43763.1	2275
AT1G43765	406
AT1G43766	349
AT1G43770	2143
AT1G43775.1	4255
AT1G43777.1	726
AT1G43780	1440
AT1G43781	1122
AT1G43785.1	5051
AT1G43790	523
AT1G43800	1401
AT1G43810	354
AT1G43820	72
AT1G43830.1	3745
AT1G43835.1	783
AT1G43840.1	2143
AT1G43845.1	597
AT1G43850	3711
AT1G43860	1373
AT1G43870.1	888
AT1G43880.1	1230
AT1G43883.1	5161
AT1G43886.1	6269
AT1G43890	1089
AT1G43895	1077
AT1G43897.1	510
AT1G43900	1249
AT1G43910	1624
AT1G43920.1	686
AT1G43930.1	3005
AT1G43940.1	516
AT1G43950	669
AT1G43960.1	4835
AT1G43970	720
AT1G43980	1866
AT1G43990.1	3294
AT1G43995.1	494
AT1G43997	414
AT1G44000	1108
AT1G44010	778
AT1G44020	2314
AT1G44030	2407
AT1G44040	1401
AT1G44045.1	5031
AT1G44050	2253
AT1G44060.1	2523
AT1G44070.1	3855
AT1G44075.1	267
AT1G44080	1044
AT1G44085	273
AT1G44090	1158
AT1G44094	123
AT1G44100	2151
AT1G44110	1618
AT1G44120	6345
AT1G44125	5159
AT1G44130	1218
AT1G44140.1	420
AT1G44150	390
AT1G44160	1451
AT1G44170	1973
AT1G44180	1594
AT1G44191	1080
AT1G44224	863
AT1G44286	385
AT1G44318	1221
AT1G44350	2019
AT1G44382	591
AT1G44414	306
AT1G44446	2147
AT1G44478	582
AT1G44510.1	4389
AT1G44542	1023
AT1G44575	1525
AT1G44608	661
AT1G44641.1	194
AT1G44674	156
AT1G44707.1	218
AT1G44740	936
AT1G44750	1993
AT1G44760	1035
AT1G44770	1197
AT1G44780	1647
AT1G44790	931
AT1G44800	1585
AT1G44810	1279
AT1G44820	1694
AT1G44830	720
AT1G44835	1226
AT1G44840.1	2781
AT1G44850.1	801
AT1G44860.1	735
AT1G44870.1	393
AT1G44875.1	402
AT1G44880.1	3117
AT1G44890	1123
AT1G44900	3072
AT1G44910	3242
AT1G44920	1113
AT1G44935.1	851
AT1G44940	261
AT1G44941	183
AT1G44960	1106
AT1G44970	1286
AT1G44980	741
AT1G44990	225
AT1G45000	1558
AT1G45010	903
AT1G45015	690
AT1G45020.1	4313
AT1G45030.1	372
AT1G45035.1	770
AT1G45040	358
AT1G45050	773
AT1G45063	1559
AT1G45070.1	2760
AT1G45080.1	714
AT1G45090.1	3633
AT1G45100	1494
AT1G45110	1316
AT1G45120.1	4401
AT1G45130	2546
AT1G45140.1	3199
AT1G45145	753
AT1G45150	2272
AT1G45160	3839
AT1G45163	788
AT1G45165	532
AT1G45170	991
AT1G45180	2430
AT1G45190	654
AT1G45191	1688
AT1G45201	1781
AT1G45207	2020
AT1G45211	328
AT1G45215	529
AT1G45221	565
AT1G45223	580
AT1G45225	348
AT1G45227	348
AT1G45229	439
AT1G45230	1092
AT1G45231	1799
AT1G45233	1562
AT1G45234	72
AT1G45236	72
AT1G45238	72
AT1G45240	72
AT1G45242	72
AT1G45243	792
AT1G45244	72
AT1G45246	72
AT1G45248	925
AT1G45249	1955
AT1G45256.2	288
AT1G45332	2588
AT1G45403	510
AT1G45474	1019
AT1G45545	2259
AT1G45616	2985
AT1G45688	1553
AT1G45760.1	732
AT1G45832.1	1342
AT1G45904	557
AT1G45976	1079
AT1G46048	191
AT1G46120.1	3738
AT1G46192.1	4767
AT1G46264	1206
AT1G46336	243
AT1G46408	801
AT1G46480	1081
AT1G46552.1	4594
AT1G46554	952
AT1G46624.1	5573
AT1G46696	1851
AT1G46768	836
AT1G46840	1428
AT1G46912	1109
AT1G46984	1113
AT1G47056	1557
AT1G47128	1764
AT1G47200	787
AT1G47210	1490
AT1G47220	984
AT1G47230	1552
AT1G47240	1922
AT1G47250	1051
AT1G47260	1185
AT1G47265	594
AT1G47270	1678
AT1G47271	625
AT1G47278	582
AT1G47280	524
AT1G47290	1706
AT1G47300	921
AT1G47310	1540
AT1G47317	312
AT1G47320.1	780
AT1G47330	1819
AT1G47340	1695
AT1G47350	1587
AT1G47360.1	4059
AT1G47370	1092
AT1G47380	2046
AT1G47389	723
AT1G47390	1113
AT1G47395	375
AT1G47400	470
AT1G47405.1	1103
AT1G47410	914
AT1G47420	1109
AT1G47430	690
AT1G47435.1	1276
AT1G47440	1336
AT1G47450	510
AT1G47460	405
AT1G47465.1	773
AT1G47470	522
AT1G47480	1125
AT1G47485	619
AT1G47490	1837
AT1G47495	429
AT1G47497	1140
AT1G47500	1728
AT1G47510	1531
AT1G47520.1	3341
AT1G47530	1810
AT1G47540	493
AT1G47550	3206
AT1G47560	2768
AT1G47565.1	2412
AT1G47570	1958
AT1G47578	843
AT1G47580	814
AT1G47590	1173
AT1G47595	396
AT1G47600	1745
AT1G47603	1182
AT1G47606.1	702
AT1G47610	1182
AT1G47620	1761
AT1G47625	471
AT1G47630	1602
AT1G47640	1037
AT1G47650.1	4098
AT1G47655	942
AT1G47660	828
AT1G47670	1779
AT1G47680	315
AT1G47690	153
AT1G47700	153
AT1G47705	1348
AT1G47710	1446
AT1G47720	969
AT1G47730	1176
AT1G47740	1574
AT1G47750	904
AT1G47760	555
AT1G47765	1158
AT1G47770	618
AT1G47780	381
AT1G47783.1	414
AT1G47786	561
AT1G47790	1170
AT1G47800	1164
AT1G47810	1056
AT1G47813	195
AT1G47816.1	2688
AT1G47820	563
AT1G47830	819
AT1G47840	1653
AT1G47860.1	9594
AT1G47870	1586
AT1G47880	1103
AT1G47885	324
AT1G47890	3060
AT1G47900	3391
AT1G47910.1	3429
AT1G47915	222
AT1G47920	1140
AT1G47930	1041
AT1G47940	843
AT1G47946	195
AT1G47950.1	6466
AT1G47960	1528
AT1G47970	924
AT1G47980	1148
AT1G47990	966
AT1G48000	905
AT1G48010	537
AT1G48020	758
AT1G48030	1723
AT1G48040	1619
AT1G48050	2273
AT1G48060	1062
AT1G48070	605
AT1G48080	73
AT1G48090	12995
AT1G48095	912
AT1G48100	1801
AT1G48110	3008
AT1G48120	4346
AT1G48130	986
AT1G48140	700
AT1G48145	354
AT1G48150	972
AT1G48160	1042
AT1G48170	944
AT1G48175	890
AT1G48180	764
AT1G48190	384
AT1G48195	450
AT1G48200	769
AT1G48210	1500
AT1G48220	1168
AT1G48230	1760
AT1G48240	1253
AT1G48250.1	1065
AT1G48260	1606
AT1G48267	90
AT1G48268	1168
AT1G48270	1464
AT1G48280	1949
AT1G48290.1	1335
AT1G48300	1119
AT1G48310	2297
AT1G48315	1059
AT1G48320	820
AT1G48325	452
AT1G48330	550
AT1G48340	880
AT1G48350	705
AT1G48360	2852
AT1G48370	2364
AT1G48380	1452
AT1G48390	1242
AT1G48400	1542
AT1G48405	894
AT1G48410	3542
AT1G48420	1377
AT1G48422	347
AT1G48430	2137
AT1G48440	685
AT1G48450	1620
AT1G48460	1297
AT1G48470	1307
AT1G48480	2294
AT1G48490	4451
AT1G48500	1579
AT1G48510	1479
AT1G48520	2106
AT1G48530	889
AT1G48540	3472
AT1G48550	1263
AT1G48560	2293
AT1G48570	1603
AT1G48580	1505
AT1G48590	938
AT1G48598	1963
AT1G48600	1989
AT1G48605	644
AT1G48610	1469
AT1G48620	1979
AT1G48625	1255
AT1G48630	1244
AT1G48635	1600
AT1G48640	1362
AT1G48650	4023
AT1G48660	1722
AT1G48670	1578
AT1G48680.1	4094
AT1G48690	732
AT1G48698	354
AT1G48700	1174
AT1G48710.1	4059
AT1G48720	294
AT1G48730	576
AT1G48740	1580
AT1G48742	172
AT1G48745	736
AT1G48750	544
AT1G48760	3439
AT1G48770	540
AT1G48780	756
AT1G48790	2009
AT1G48800	1812
AT1G48810.1	991
AT1G48820	1686
AT1G48830	897
AT1G48840	2473
AT1G48850	1698
AT1G48860	1961
AT1G48870	1782
AT1G48880	1613
AT1G48890.1	1268
AT1G48900	1814
AT1G48910	1152
AT1G48912	147
AT1G48920	1966
AT1G48930	2097
AT1G48940	534
AT1G48950	2080
AT1G48953	291
AT1G48960	937
AT1G48970	2441
AT1G48980	1850
AT1G48990	722
AT1G49000	707
AT1G49005	582
AT1G49010	1161
AT1G49015	684
AT1G49020	72
AT1G49030	864
AT1G49032	738
AT1G49040	4310
AT1G49050	2031
AT1G49060	415
AT1G49070.1	4530
AT1G49080.1	576
AT1G49090.1	1367
AT1G49100	2667
AT1G49110	856
AT1G49120	990
AT1G49130	1172
AT1G49140	619
AT1G49150	447
AT1G49160	2098
AT1G49170	685
AT1G49180	1498
AT1G49190	2128
AT1G49200	942
AT1G49210	876
AT1G49220	768
AT1G49230	868
AT1G49240	1707
AT1G49245	512
AT1G49250	1974
AT1G49260	1098
AT1G49270	2100
AT1G49280	74
AT1G49290	1017
AT1G49300	1258
AT1G49310	425
AT1G49320	1154
AT1G49330	996
AT1G49340	6582
AT1G49350	1472
AT1G49360	1578
AT1G49370	1428
AT1G49380	2055
AT1G49390	1152
AT1G49400	839
AT1G49405	459
AT1G49410	501
AT1G49420	570
AT1G49430	2327
AT1G49435	280
AT1G49440.1	2074
AT1G49450	2017
AT1G49460	37
AT1G49470	1141
AT1G49475	904
AT1G49480	1598
AT1G49490	2544
AT1G49500	990
AT1G49510	1215
AT1G49520	1337
AT1G49530	1261
AT1G49540	2805
AT1G49550.1	990
AT1G49560	1435
AT1G49570	1333
AT1G49580	2209
AT1G49590	1368
AT1G49600	1688
AT1G49610	1065
AT1G49620	789
AT1G49630	3666
AT1G49640	1192
AT1G49650	1383
AT1G49660	1103
AT1G49670	2833
AT1G49680	300
AT1G49690	73
AT1G49700	840
AT1G49710	2004
AT1G49715	345
AT1G49720	1631
AT1G49730	2625
AT1G49740	1844
AT1G49750	1755
AT1G49760	2612
AT1G49770	1178
AT1G49780	1414
AT1G49790	1019
AT1G49800	575
AT1G49810	1263
AT1G49820	1577
AT1G49830	753
AT1G49832	619
AT1G49840	1859
AT1G49850	1115
AT1G49860	985
AT1G49870	2857
AT1G49880	803
AT1G49890	2547
AT1G49900	2954
AT1G49910	1224
AT1G49920	2382
AT1G49930	405
AT1G49938	198
AT1G49940	1119
AT1G49950	1594
AT1G49952	453
AT1G49960	1829
AT1G49970	1677
AT1G49975	599
AT1G49980	2734
AT1G49990	1472
AT1G50000	1020
AT1G50010	1775
AT1G50020	923
AT1G50030	8007
AT1G50040	1614
AT1G50050	681
AT1G50055	839
AT1G50060	618
AT1G50070	80
AT1G50080	276
AT1G50090	1104
AT1G50100	80
AT1G50110	1312
AT1G50120	2229
AT1G50130	2798
AT1G50140	3237
AT1G50160	222
AT1G50170	951
AT1G50180	2574
AT1G50190	1860
AT1G50200	3441
AT1G50210	740
AT1G50220	612
AT1G50240	4053
AT1G50250	2473
AT1G50260	2383
AT1G50270	2225
AT1G50280	1840
AT1G50290	876
AT1G50300	1488
AT1G50310	1554
AT1G50320	843
AT1G50325	615
AT1G50330	838
AT1G50340	474
AT1G50350	402
AT1G50360	4149
AT1G50370	1461
AT1G50380	2597
AT1G50390	441
AT1G50400	1157
AT1G50410	3326
AT1G50420	1951
AT1G50430	1639
AT1G50440	1336
AT1G50450	1427
AT1G50460	2074
AT1G50470	366
AT1G50480	2269
AT1G50490	918
AT1G50500	2952
AT1G50510	1379
AT1G50520	1754
AT1G50530	345
AT1G50550	969
AT1G50560	1984
AT1G50570	1771
AT1G50575	1177
AT1G50580	1347
AT1G50590	933
AT1G50600	2060
AT1G50603	102
AT1G50610	2321
AT1G50620	2223
AT1G50630	1744
AT1G50640	1286
AT1G50650	525
AT1G50659	994
AT1G50660	2928
AT1G50670	1048
AT1G50680	1014
AT1G50690	877
AT1G50691	249
AT1G50700	2063
AT1G50710	1669
AT1G50720	465
AT1G50730	2928
AT1G50732	550
AT1G50735.1	887
AT1G50740	788
AT1G50750	2691
AT1G50760	261
AT1G50770	1899
AT1G50780	972
AT1G50790	2439
AT1G50800	684
AT1G50810.1	4105
AT1G50820	1587
AT1G50830	2672
AT1G50840	3569
AT1G50850.1	2245
AT1G50860.1	3846
AT1G50870	1191
AT1G50880	840
AT1G50890	2877
AT1G50900	793
AT1G50910	1927
AT1G50920	2394
AT1G50930	790
AT1G50940	1389
AT1G50950	1782
AT1G50954	96
AT1G50960	1011
AT1G50970	1710
AT1G50980	1113
AT1G50990	1524
AT1G51000	219
AT1G51010	249
AT1G51020	719
AT1G51030	463
AT1G51035	228
AT1G51040	1578
AT1G51050	612
AT1G51055	486
AT1G51060	674
AT1G51070	1269
AT1G51080	1009
AT1G51085.1	226
AT1G51090	767
AT1G51100	886
AT1G51110	1462
AT1G51120	1059
AT1G51130	1559
AT1G51140	1625
AT1G51150	660
AT1G51160	856
AT1G51170	1435
AT1G51172	2046
AT1G51175.1	5622
AT1G51190	2136
AT1G51200	1304
AT1G51210	1302
AT1G51220	1303
AT1G51230	409
AT1G51240	384
AT1G51250	672
AT1G51260	1344
AT1G51270	2471
AT1G51290	1134
AT1G51300	639
AT1G51310	1769
AT1G51320	1128
AT1G51330	582
AT1G51340	1870
AT1G51350	2441
AT1G51355	750
AT1G51360	717
AT1G51370	2029
AT1G51380	1452
AT1G51390	1252
AT1G51400	560
AT1G51402	500
AT1G51405	1464
AT1G51410	978
AT1G51420	1356
AT1G51430	893
AT1G51440	1782
AT1G51450	1858
AT1G51460	2285
AT1G51470	1713
AT1G51480	2826
AT1G51490	1455
AT1G51500	2342
